Exception,CatchBlock,error,0,0,0,0,0,0,0,4,3,0,0,0,0.09,3,33,1,Exception, , , , ,jadx,jadx cli,error
Exception,CatchBlock,error,0,0,0,0,1,0,0,4,2,0,0,0,0.09,3,31,1,JadxArgsValidateException, , , , ,jadx,jadx cli,error
Exception,TryBlock,error,0,0,0,1,0,0,0,18,1,16,7,3,0.22,3,42,2, ,error current thread interrupt arg set root dir save executor shutdown task count complet task count set progress sleep termin close info class,thread current thread decompil arg decompil ex ex ex progress monitor thread ex progress monitor decompil class,thread pool executor,ex total,jadx wrapper,jadx gui,info
LogicBranch,IfBlock,error,0,0,0,1,0,0,0,6,1,2,1,0,0.13,3,38,2, ,info print error report,jadx, , ,jadx,jadx cli,error
CriticalMethodCheck,MethodBlock, ,0,0,0,0,1,0,0,6,2,3,4,1,0,0,0,0, ,overrid provid assert,jadx arg,boolean,re,jadx arg test,jadx cli,info
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,0,1,2,0,0.01,1,39,2, ,debug,, , ,line,jadx gui ui codearea,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,2,1,0,0,0.03,2,32,1, ,debug enabl,, , ,jadx arg valid,jadx api,debug
CriticalMethodCheck,MethodBlock,debug,0,0,0,0,1,0,0,16,2,5,4,5,0.15,2,31,1, ,input file name index substr,arg input file file name name,file string file string int,dir dir name file name po,jadx arg valid,jadx api,info
CriticalMethodCheck,MethodBlock,error,0,0,0,0,0,0,0,16,1,10,4,0,0.05,5,48,2, ,reset valid init input file load file load init class path resourc load resourc init visitor,jadx arg valid arg root root root, , ,jadx decompil,jadx api,info
Exception,CatchBlock,info,0,0,0,0,0,0,0,4,2,2,0,0,0.05,3,37,1,InterruptedException,current thread interrupt,thread current thread, , ,jadx wrapper,jadx gui,error
CriticalMethodCheck,MethodBlock,error,0,0,0,1,1,1,0,29,2,12,6,5,0.08,5,42,2, ,thread count info fix thread pool export gradl project dir src dir re dir init src dir re dir append resourc save append sourc save,arg executor arg arg arg arg export export export,int executor servic file file export gradl project,thread count executor sourc dir re dir export,jadx decompil,jadx api,debug
CriticalMethodCheck,MethodBlock,error,0,0,0,1,1,1,0,29,1,12,7,5,0.08,5,47,2, ,thread count debug fix thread pool export gradl project dir src dir re dir init src dir re dir append resourc save append sourc save,arg executor arg arg arg arg export export export,int executor servic file file export gradl project,thread count executor sourc dir re dir export,jadx decompil,jadx api,info
Exception,CatchBlock,error,0,0,0,0,0,0,0,3,3,0,0,0,0.01,5,41,1,Exception, , , , ,jadx decompil,jadx api,error
Exception,CatchBlock,error,0,0,0,0,0,0,0,3,3,0,0,0,0.01,5,38,1,Exception, , , , ,jadx decompil,jadx api,error
Exception,CatchBlock,debug,0,0,0,0,1,0,0,7,2,10,6,1,0.04,1,55,2,JadxException,type string lower add add caus stack trace start line name singl file,rf type string cw add util cw rf re contain,code writer,cw,resourc loader,jadx api,error
Exception,CatchBlock,error,0,0,0,0,0,0,0,4,2,1,2,0,0.02,1,28,2,Exception,add resourc file,, , ,resourc loader,jadx api,debug
LogicBranch,IfBlock,error,0,0,0,0,0,0,0,3,1,0,0,0,0.02,1,39,2, , , , , ,jadx,jadx core,debug
Exception,CatchBlock,debug,0,0,0,0,0,0,0,3,2,0,0,0,0.02,1,25,1,Exception, , , , ,jadx,jadx core,error
CriticalMethodCheck,MethodBlock,debug,0,0,0,1,1,0,0,14,2,4,3,3,0.10,2,21,1, ,size debug enabl sort debug,miss class collect,int list string string,count cl name cl,clsp graph,jadx core clsp,warn
LoopCheck,ForBlock,warn,0,0,0,0,0,0,0,3,2,0,0,1,0.02,2,38,1, , , ,string,cl,clsp graph,jadx core clsp,debug
LogicBranch,IfBlock,info,0,0,0,0,0,0,0,3,2,1,1,0,0.01,1,45,2, ,contain kei,name, , ,cl set,jadx core clsp,debug
Exception,TryBlock,debug,0,0,0,0,0,0,0,17,2,9,7,5,0.07,1,42,2, ,write byte write byte write int name write string parent write byte id write int,cl cl parent,data output stream class class class class,cl parent parent cl,cl set,jadx core clsp,info
CriticalMethodCheck,MethodBlock,info,0,0,0,0,0,0,0,3,1,0,0,0,0.04,4,38,2, , , , , ,convert cl set,jadx core clsp,info
