bazel,63485,406,18,7,406
deeplearning4j,227661,2242,79,55,2242
disruptor,116,7,0,0,7
druid,33926,373,3,27,373
elasticsearch,398813,7260,536,159,7260
fastjson,567,6,0,0,6
guava,32867,73,5,1,73
hadoop,1205546,18565,3045,382,18565
Hystrix,13503,108,0,4,108
incubator-dubbo,37501,877,38,20,877
jadx,19679,219,0,8,219
kafka,79771,1614,253,140,1614
libgdx,8364,85,0,0,85
mybatis-3,5064,184,0,1,184
netty,76978,944,108,25,944
presto,53243,455,24,6,455
proxyee-down,1709,15,0,1,15
selenium,14197,141,0,3,141
spark,4893,63,1,1,63
spring-boot,38458,628,26,28,628
spring-framework,180243,2946,19,123,2946
storm,3675,59,0,1,59
vert.x,22299,329,0,6,329
zheng,2390,75,0,0,75
zipkin,4431,70,0,6,70
