bazel,63485,406,41,7,358
deeplearning4j,227661,2242,82,55,2105
disruptor,116,7,0,0,7
druid,33926,373,3,27,343
elasticsearch,398813,7260,560,159,6541
fastjson,567,6,0,0,6
guava,32867,73,5,1,67
hadoop,1205546,18565,3106,382,15077
Hystrix,13503,108,0,4,104
incubator-dubbo,37501,877,38,20,819
jadx,19679,219,0,8,211
kafka,79771,1614,257,140,1217
libgdx,8364,85,0,0,85
mybatis-3,5064,184,0,1,183
netty,76978,944,112,25,807
presto,53243,455,27,6,422
proxyee-down,1709,15,0,1,14
selenium,14197,141,0,3,138
spark,4893,63,1,1,61
spring-boot,38458,628,26,28,574
spring-framework,180243,2946,19,123,2804
storm,3675,59,0,1,58
vert.x,22299,329,0,6,323
zheng,2390,75,0,0,75
zipkin,4431,70,0,6,64
