Exception,CatchBlock, ,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,command line expans except, , , , , , , ,action execut event,com googl devtool build lib action,info
CriticalClassesCheck,ClassBlock,warn,0,0,0,1,1,1,0,143,2,20,11,4,1.00,2,60,1, , , , ,tree map summari summari info warn log version info empti empti layout tabl length length equal time pars,map build data immut map info info logger logger build data build data string util build data build label build data build label build data build data timestamp date,string string string string,build label build label build label timestamp,blaze version info,com googl devtool build lib analysi,info
CriticalMethodCheck,MethodBlock,info,0,0,0,1,1,1,0,210,2,97,101,30,0.30,2,24,1, , , ,analysi result,poll interrupt statu reset evalu configur target kei set reset evalu action count packag manag target post instanc profil creat configur instanc profil target config instanc profil target label prepar analysi phase configur top level ct set configur target configur size target configur environ post creat label configur label post list label configur stream map collect creat index nativ aspect class map configur label label creat aspect kei add substr start start start substr index substr substr messag format creat substr label configur label configur configur creat skylark aspect kei add post kei artifact factori note analysi start invalid configur target configur target packag root set artifact root size configur target size format info handl info configur target packag manag configur check target environ restrict creat result info,skyfram build view skyfram build view skyfram executor load result event bu profil instanc skyfram executor profil instanc analysi util profil instanc load result skyfram executor prepar analysi phase valu prepar analysi phase valu skyfram build view configur target configur configur target configur event bu arrai list multimap pair pair label target label event bu collector node node configur target kei top level target config stream map arrai list multimap aspect rule class provid nativ aspect class map target spec target spec pair aspect configur target spec aspect valu aspect kei aspect bzl file load string bzl file load string bzl file load string bzl file load string bzl file load string bzl file load string bzl file load string bzl file load string string immut map skylark import aspect target spec pair target spec aspect configur target spec target spec target spec aspect valu aspect kei target target aspect configur event bu aspect configur artifact factori skyfram build view skyfram build view skyfram analysi result top level target config skyfram analysi result configur target string event event handler logger skyfram analysi result skyfram executor skyfram executor top level constraint semant logger,collection< target> build configur collect collection< target configuration> silent closeabl silent closeabl prepar analysi phase valu silent closeabl multimap< label build configuration> target configur target list< configur target key> multimap< pair< label string> build configuration> list< aspect valu key> int nativ aspect class build configur target configur string int skylark import string target configur string pair< label string> skyfram analysi result int int string set< configur target> analysi result,target configur top level target config prepar analysi phase valu label pair target top level ct kei aspect configur aspect kei delimit posit aspect factori class configur target spec bzl file load string slash posit skylark import skylark function name target spec aspect target skyfram analysi result num target analyz num success msg target skip result,build view,com googl devtool build lib analysi,info
LogicBranch,IfBlock,info,0,0,0,0,0,0,0,6,0,3,5,1,0.01,2,32,1, , ,0 num success num success num target analyz, ,format info handl,string event event handler,string,msg,build view,com googl devtool build lib analysi,info
CriticalMethodCheck,MethodBlock,info,0,0,0,1,1,1,0,210,2,97,101,30,0.30,2,24,1, , , ,analysi result,info poll interrupt statu reset evalu configur target kei set reset evalu action count packag manag target post instanc profil creat configur instanc profil target config instanc profil target label prepar analysi phase configur top level ct set configur target configur size target configur environ post creat label configur label post list label configur stream map collect creat index nativ aspect class map configur label label creat aspect kei add substr start start start substr index substr substr messag format creat substr label configur label configur configur creat skylark aspect kei add post kei artifact factori note analysi start invalid configur target configur target packag root set artifact root size configur target size format info handl info configur target packag manag configur check target environ restrict creat result,logger skyfram build view skyfram build view skyfram executor load result event bu profil instanc skyfram executor profil instanc analysi util profil instanc load result skyfram executor prepar analysi phase valu prepar analysi phase valu skyfram build view configur target configur configur target configur event bu arrai list multimap pair pair label target label event bu collector node node configur target kei top level target config stream map arrai list multimap aspect rule class provid nativ aspect class map target spec target spec pair aspect configur target spec aspect valu aspect kei aspect bzl file load string bzl file load string bzl file load string bzl file load string bzl file load string bzl file load string bzl file load string bzl file load string string immut map skylark import aspect target spec pair target spec aspect configur target spec target spec target spec aspect valu aspect kei target target aspect configur event bu aspect configur artifact factori skyfram build view skyfram build view skyfram analysi result top level target config skyfram analysi result configur target string event event handler logger skyfram analysi result skyfram executor skyfram executor top level constraint semant,collection< target> build configur collect collection< target configuration> silent closeabl silent closeabl prepar analysi phase valu silent closeabl multimap< label build configuration> target configur target list< configur target key> multimap< pair< label string> build configuration> list< aspect valu key> int nativ aspect class build configur target configur string int skylark import string target configur string pair< label string> skyfram analysi result int int string set< configur target> analysi result,target configur top level target config prepar analysi phase valu label pair target top level ct kei aspect configur aspect kei delimit posit aspect factori class configur target spec bzl file load string slash posit skylark import skylark function name target spec aspect target skyfram analysi result num target analyz num success msg target skip result,build view,com googl devtool build lib analysi,info
LogicBranch,IfBlock, ,0,0,0,0,0,0,0,24,0,17,18,3,0,0,0,0, , ,byte null, ,memoiz context output instanc serial serial serial write byte arrai tag serial serial serial serial flush flush size byte string byte option diff string,context byte string code output stream context context context byte context context context context byte byte string byte string byte string cach diff,byte string output code output stream int,byte string byte option diff size,build option,com googl devtool build lib analysi config,info
Exception,CatchBlock, ,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,except, , , , , , , ,test runner action,com googl devtool build lib analysi test,warn
Exception,CatchBlock, ,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,except, , , , , , , ,repositori resolv modul,com googl devtool build lib bazel repositori,warn
Exception,CatchBlock, ,0,0,0,0,1,0,0,9,0,3,3,1,0,0,0,0,except, , , ,report blaze modul environ report error,env env,string,messag,build event servic modul,com googl devtool build lib buildeventservic,warn
Exception,CatchBlock,info,0,0,0,0,0,1,0,8,0,3,2,0,0.01,3,57,2,execut except, , , ,messag format caus,string, , ,build event servic transport,com googl devtool build lib buildeventservic,warn
CriticalMethodCheck,MethodBlock,warn,0,0,0,0,0,0,0,3,0,0,0,0,0.00,3,80,3, , , ,void, , , , ,build event servic transport,com googl devtool build lib buildeventservic,info
CriticalMethodCheck,MethodBlock,warn,0,0,0,0,0,0,0,3,0,0,0,0,0.00,3,78,2, , , ,void, , , , ,build event servic transport,com googl devtool build lib buildeventservic,info
CriticalMethodCheck,MethodBlock,info,0,0,0,0,0,0,0,3,0,0,0,0,0.00,3,77,2, , , ,void, , , , ,build event servic transport,com googl devtool build lib buildeventservic,error
Exception,CatchBlock,error,0,0,0,0,0,0,0,7,0,2,1,0,0.02,4,72,2,except, , , ,accept,exit func pend write, , ,file transport,com googl devtool build lib buildeventstream transport,error
Exception,CatchBlock,error,0,0,0,0,0,0,0,3,0,0,0,0,0.01,4,71,2,except, , , , , , , ,file transport,com googl devtool build lib buildeventstream transport,error
Exception,CatchBlock,error,0,0,0,0,0,0,0,3,0,0,0,0,0.01,4,68,2,interrupt except, , , , , , , ,file transport,com googl devtool build lib buildeventstream transport,error
Exception,CatchBlock,error,0,0,0,0,0,0,0,5,0,2,1,0,0.02,4,71,2,interrupt except, , , ,close set,close futur, , ,file transport,com googl devtool build lib buildeventstream transport,error
LogicBranch,IfBlock,error,0,0,0,0,0,0,0,3,0,2,3,0,0.01,4,71,3, , ,writer pend write add stream proto event namer, ,stream proto add,writerpend write, , ,file transport,com googl devtool build lib buildeventstream transport,error
LogicBranch,IfBlock, ,0,0,0,0,0,1,1,43,0,33,24,7,0,0,0,0, , ,request build option perform analysi phase, ,build option progress report handl report post creat error messag instanc mark phase instanc profil multi cpu run analysi phase instanc mark phase instanc profil target build valid licens target report target report configur kei skyfram executor configur label event id target complet format event bu post target skip,request event env report env report build view profil instanc profil instanc request build option profil instanc profil instanc analysi result request env target env skyfram executor target config build event id string env event bu analysi result,string silent closeabl boolean silent closeabl build configur label configur target,error messag check licens config label target,analysi phase runner,com googl devtool build lib buildtool,info
LogicBranch,IfBlock,info,0,0,0,0,0,0,0,9,0,0,0,0,0.03,1,73,1, , ,job, , , , , ,build request option,com googl devtool build lib buildtool,warn
LogicBranch,IfBlock,warn,0,0,0,1,0,0,0,15,1,6,4,0,0.04,1,142,1, , ,input equal auto, ,equal convert local host capac cpu usag ceil warn,input super local host capac local host capac math logger, , ,build request option,com googl devtool build lib buildtool,info
